symptom_id,canonical_sr,synonyms_sr,colloquial_sr,icd10_hint,body_system
temperatura,povišena temperatura,povišena tjelesna temperatura|temperatura 38|fibra|vrućica|imam temperaturu,joj imam temperaturu|kuvam kolko sam vruć|gorim,R50,opšti
jeza,jeza i drhtavica,drhtavica|tresavica|tresem se|podilazi me jeza,tresem se ko prut|treskavica,R68.83,opšti
bol_u_grlu,bol u grlu,boli me grlo|grebe me grlo|peckanje u grlu|upala grla|grlobolja|bolno gutanje,grebucka me grlo|grebanje grla|ne mogu da gutam kolko me grlo boli,J02,respiratorni
kasalj,kašalj,kašljem|kašljucanje|suvi kašalj|nadražajni kašalj,guši me kašalj|zakasljavam se|kašljem ko magarac,R05,respiratorni
iskasljavanje,iskašljavanje sekreta,iskašljavam šlajm|iskašljavam sekret|produktivan kašalj|šlajm u grlu,iskašljavam nešto žuto|krcim pa ispljunem,R09.3,respiratorni
iscedak_iz_nosa,curenje iz nosa,sekret iz nosa|slinav nos|rinoreja|curi mi nos,curi mi nos ko česma|bale mi cure,J34.89,respiratorni
zapusen_nos,zapušen nos,kongestija nosa|ne mogu da dišem na nos|začepljen nos,nos mi skroz čep|dišem na usta,J34.89,respiratorni
kijanje,kijanje,kijam|kijavica|učestalo kijanje,kijam stalno|apćiha stalno,J30,respiratorni
glavobolja,glavobolja,boli me glava|probada me glava|pritisak u glavi|lupa me glava,puca mi glava|razbija me glava|glava hoće da mi eksplodira,R51,nervni
migrenozni_bol,pulsirajući bol u glavi,migrena|pulsiranje u glavi|bol u polovini glave|aura pred glavobolju,kuca mi u slepoočnici|boli me pola glave,G43,nervni
fotofobija,osetljivost na svetlo,smeta mi svetlo|fotofobija|moram u mrak,svetlo me ubija,H53.14,nervni
vrtoglavica,vrtoglavica,vrti mi se u glavi|nestabilnost|ljuljanje|muti mi se,sve mi se okreće|kao da ću da padnem,R42,nervni
umor,umor i malaksalost,malaksalost|iscrpljenost|bez energije|klonulost,mrtav sam umoran|nemam snage ni za šta|vučem se,R53,opšti
bol_u_misicima,bol u mišićima,bole me mišići|mijalgija|upala mišića|muskulfiber,sve me boli posle treninga|mišići mi se raspadaju,M79.1,mišićno-koštani
bol_u_zglobovima,bol u zglobovima,bole me zglobovi|artralgija|ukočeni zglobovi|otok zgloba,krckaju me zglobovi|zglobovi me bole na promenu vremena,M25.5,mišićno-koštani
bol_u_ledjima,bol u leđima,boli me krsta|bol u krstima|lumbago|ukrštena leđa,ukočio sam se u krstima|ne mogu da se ispravim,M54.5,mišićno-koštani
bol_u_vratu,bol u vratu,boli me vrat|ukočen vrat|cervikalni bol|koči me vrat,ne mogu da okrenem glavu|vrat mi se zgrčio,M54.2,mišićno-koštani
bol_u_ramenu,bol u ramenu,boli me rame|zategnutost u ramenu|tendinitis ramena,ne mogu da dignem ruku|rame me ubija,M75,mišićno-koštani
bol_u_kolenu,bol u kolenu,boli me koleno|otok kolena|škripanje u kolenu,kleca mi koleno|ne mogu da čučnem,M25.56,mišićno-koštani
grcevi_u_misicima,grčevi u mišićima,grč u listu|stezanje mišića|grčevi noću,uhvatio me grč|grč mi ne popušta,R25.2,mišićno-koštani
utrnulost,trnjenje ruku i nogu,trnu mi ruke|parestezija|žmarci|utrnulost prstiju,žmarci mi idu niz ruku|osećam mravinjanje,R20.2,nervni
gorusica,gorušica,zgaravica|peče me želudac|kiselina mi se vraća|žarenje iza grudne kosti,gori me želudac|vata mi se kiselina,R12,digestivni
bol_u_stomaku,bol u stomaku,boli me stomak|grčevi u stomaku|abdominalni bol|čupanje u stomaku,previja me stomak|boli me trbuh,R10,digestivni
mucnina,mučnina,muka mi je|nagon na povraćanje|slabo mi je|gadjenje,prikipi mi muka|sloši mi se,R11.0,digestivni
povracanje,povraćanje,povratio sam|bljuvanje|povraća mi se,izbacio sam sve iz sebe,R11.1,digestivni
proliv,proliv,dijareja|retka stolica|česta stolica|vodenasta stolica,ne silazim sa šolje|proliv me ubi,K59.1,digestivni
zatvor,zatvor,opstipacija|neredovna stolica|tvrda stolica|ne mogu u wc,mučim se u wc-u|stolice nema danima,K59.0,digestivni
nadutost,nadutost,nadimanje|gasovi|flatulencija|napet stomak,naduvam se ko balon|stalno puštam gasove,R14,digestivni
gubitak_apetita,gubitak apetita,nemam apetit|ne jede mi se|odbojnost prema hrani,ništa mi se ne jede|hrana mi se gadi,R63.0,digestivni
tezina_posle_jela,težina posle jela,dispepsija|teško varenje|pritisak posle jela|sporo varenje,kamen mi stoji na želucu|jedem pa mi teško,K30,digestivni
podrigivanje,podrigivanje,podrigujem|vraćanje vazduha|riganje,stalno mi se podriguje,R14.2,digestivni
preznojavanje,pojačano znojenje,znojenje|noćno znojenje|preznojavam se|hladan znoj,budim se mokar|znojim se i kad mirujem,R61,opšti
osip,osip po koži,crvenilo po koži|koprivnjača|urtikarija|bubuljice po telu,iskočile mi fleke|osuo sam se,R21,koža
svrab,svrab kože,svrbi me koža|pruritus|češem se|svrab po telu,svrbi me da poludim|ne mogu da prestanem da se češem,L29,koža
svrab_oka,svrab očiju,svrbe me oči|peckanje očiju|iritacija očiju,trljam oči non stop|oči me svrbe na polen,H10.1,oko
suzenje_oka,suzenje očiju,suze mi oči|vodene oči|plačne oči,oči mi suze na vetar,H04.2,oko
crvenilo_oka,crvenilo očiju,crvene oči|konjunktivitis crvenilo|krvave oči,oči mi ko u vampira,H10.0,oko
bol_u_uvu,bol u uvu,boli me uvo|pritisak u uvu|otitis bol|probadanje u uvu,puca mi uvo|ne čujem na jedno uvo,H92.0,uvo
zujanje_u_usima,zujanje u ušima,tinitus|pištanje u ušima|brujanje u ušima,zuiji mi u ušima|čujem pištanje,H93.1,uvo
